prediction_model,seed,copula_name,k_tau,alpha_c_mult,alpha_c_used,censoring_rate,ibs_true,ibs_ipcw,ibs_dep_bguw,bias_ipcw,bias_dep_bguw,err_ipcw,err_dep_bguw
oracle_fixed_per_seed,0,clayton,0.0,0.9830508474576272,18.677966101694917,0.5001,0.07015034619301057,0.1005597363571622,0.09682212825840338,0.03040939016415163,0.026671782065392807,0.03040939016415163,0.026671782065392807
oracle_fixed_per_seed,0,clayton,0.1,0.9830508474576272,18.677966101694917,0.5065,0.07015034619301057,0.10209650974712857,0.09991969019666927,0.031946163554118,0.0297693440036587,0.031946163554118,0.0297693440036587
oracle_fixed_per_seed,0,clayton,0.2,0.9830508474576272,18.677966101694917,0.5053000000000001,0.07015034619301057,0.10223349171520398,0.0911146904303603,0.03208314552219341,0.020964344237349733,0.03208314552219341,0.020964344237349733
oracle_fixed_per_seed,0,clayton,0.3,0.9830508474576272,18.677966101694917,0.513,0.07015034619301057,0.1250084553719302,0.0913922052905752,0.05485810917891963,0.02124185909756464,0.05485810917891963,0.02124185909756464
oracle_fixed_per_seed,0,clayton,0.4,0.9830508474576272,18.677966101694917,0.5151,0.07015034619301057,0.13380500588369076,0.08554994129038286,0.0636546596906802,0.015399595097372293,0.0636546596906802,0.015399595097372293
oracle_fixed_per_seed,0,clayton,0.5,0.9830508474576272,18.677966101694917,0.5147999999999999,0.07015034619301057,0.12284316252756074,0.08912466742086367,0.05269281633455017,0.0189743212278531,0.05269281633455017,0.0189743212278531
oracle_fixed_per_seed,0,clayton,0.6,0.9830508474576272,18.677966101694917,0.5201,0.07015034619301057,0.12794788693696107,0.08914402184585954,0.05779754074395051,0.01899367565284897,0.05779754074395051,0.01899367565284897
oracle_fixed_per_seed,0,clayton,0.7,0.9830508474576272,18.677966101694917,0.5155000000000001,0.07015034619301057,0.12876825306140335,0.08926219284746069,0.058617906868392786,0.01911184665445012,0.058617906868392786,0.01911184665445012
oracle_fixed_per_seed,0,clayton,0.8,0.9830508474576272,18.677966101694917,0.5077,0.07015034619301057,0.13607731982313406,0.08759697161383183,0.0659269736301235,0.01744662542082126,0.0659269736301235,0.01744662542082126
oracle_fixed_per_seed,0,frank,0.0,0.9830508474576272,18.677966101694917,0.496,0.07015034619301057,0.09826592418164018,0.09962462557206693,0.02811557798862961,0.029474279379056362,0.02811557798862961,0.029474279379056362
oracle_fixed_per_seed,0,frank,0.1,0.9830508474576272,18.677966101694917,0.5009,0.07015034619301057,0.08935168229244067,0.09368933550901647,0.019201336099430102,0.0235389893160059,0.019201336099430102,0.0235389893160059
oracle_fixed_per_seed,0,frank,0.2,0.9830508474576272,18.677966101694917,0.5025,0.07015034619301057,0.09378090649137202,0.09727171164672474,0.023630560298361455,0.027121365453714172,0.023630560298361455,0.027121365453714172
oracle_fixed_per_seed,0,frank,0.3,0.9830508474576272,18.677966101694917,0.4989,0.07015034619301057,0.09596942370757355,0.0980477336810706,0.025819077514562985,0.027897387488060033,0.025819077514562985,0.027897387488060033
oracle_fixed_per_seed,0,frank,0.4,0.9830508474576272,18.677966101694917,0.4951,0.07015034619301057,0.11028116982840924,0.09491137406551835,0.040130823635398674,0.02476102787250778,0.040130823635398674,0.02476102787250778
oracle_fixed_per_seed,0,frank,0.5,0.9830508474576272,18.677966101694917,0.4978,0.07015034619301057,0.10158229518005292,0.09840627714276634,0.03143194898704235,0.028255930949755773,0.03143194898704235,0.028255930949755773
oracle_fixed_per_seed,0,frank,0.6,0.9830508474576272,18.677966101694917,0.493,0.07015034619301057,0.1082151249292149,0.09771899275272654,0.03806477873620433,0.02756864655971597,0.03806477873620433,0.02756864655971597
oracle_fixed_per_seed,0,frank,0.7,0.9830508474576272,18.677966101694917,0.4861,0.07015034619301057,0.10759233693477367,0.09338066482308958,0.037441990741763104,0.023230318630079017,0.037441990741763104,0.023230318630079017
oracle_fixed_per_seed,0,frank,0.8,0.9830508474576272,18.677966101694917,0.48260000000000003,0.07015034619301057,0.11193915048599534,0.09663286023535889,0.041788804292984774,0.026482514042348318,0.041788804292984774,0.026482514042348318
oracle_fixed_per_seed,1,clayton,0.0,1.1355932203389831,21.576271186440678,0.5037,0.07923602526946576,0.10465414010770697,0.10161248235987583,0.025418114838241218,0.02237645709041007,0.025418114838241218,0.02237645709041007
oracle_fixed_per_seed,1,clayton,0.1,1.1355932203389831,21.576271186440678,0.503,0.07923602526946576,0.10523753547510699,0.09793686326056705,0.02600151020564123,0.018700837991101296,0.02600151020564123,0.018700837991101296
